,S.NO.,COLLEGE NAME,LOCATION,CONTACT NO.,COLLEGE WEBSITE
,1,Sri Medhavi Junior College,Hyderabad,9640222223,https://srimedhav.com/
,2,IQbalia Junior College,Hyderabad,4023569990,https://www.iqbaliajuniorcollege.com/
,3,Sri Saraswathi Junior College,Hyderabad,9133444771, https://ssaraswathi.com/
,4,Roots Junior College,Hyderabad,8885803065,https://rjc.ac.in/best-junior-college-in-hyderabad-for-mec-cecourses/
,5,AADYAS Junior College,Hyderabad,7207943360,https://aadyasacademy.com/
,6,St. Mary's Junior College,Hyderabad,4023220809,https://stmaryscollege.in/
,7,St. Josephâ€™s Junior College,Hyderabad,9133312830, https://st-josephs.in/
,8,SRI MEDHA JUNIOR COLLEGE,Warangal,9398874847,https://medhajuniorcollege.business.siteutm_source=gmb&utm_medium=referral
,9,S.R. Nava Vignana Bharathi,Hanamkonda,9121224802,http://srdigischool.com/Junior College
,10,SHINE JUNIOR COLLEGE,Hanamkonda,9246890196,https://www.shinehighschools.ac.in/
,11,Sr Residential Junior College,Hanamkonda,8702540380,https://www.srjuniorcolleges.com/
,12,Ramappa Junior College,Hanamkonda,9704736037,http://www.ramappacolleges.com/
,13,Urbane junior college,Hanamkonda,4040245460,https://www.urbanecollege.com/
,14,Sr Junior College,Hanamkonda,9848423511,https://www.srjuniorcolleges.com/
,15,Gatik Junior College,Sangareddy,7799988416,https://www.gatikedu.com/
,16,Sri Amogha Junior College,Hyderabad,9160491609,https://sriamogha.com/
,17,New Sri Chaitanya Junior College,Hyderabad,9989482819,https://business.google.com/website/new-sri-chithanya-juniocollege
,18,Excellencia Junior College,LB Nagar,8095219500,https://www.excellencia.co.in/
,19,St. Mathew's Junior college,Hyderabad,9052528882,https://smjrc.business.site/
,20,Abhyaas Junior College,Hyderabad,7032777259,https://www.abhyaascolleges.com/softcollege/
,21,Hidayah Junior College,Hyderabad,9100713339,https://hidayahcollege.in/
,22,Royal Junior College,Medak,4023701130,http://www.royalcolleges.in/
,23,Kompass Junior College,Hyderabad,8019643649,https://nalandjunicollege.business.site/utm_source=gmb&utm_medium=referral
,24,Nalanda Junior college,Hyderabad,9603075490,https://www.newerajrcollege.org/
,25,New Era Junior College And Academy,Hyderabad,4065157404,http://www.pragathicolleges.com/
,26,Pragathi Junior College,Hyderabad,9949624412,https://www.facebook.com/shivaramamaruthi?mibextid=9R9pXO
,27,SRM JUNIOR COLLEGE/IIT NEET ACADEMY,Hanamkonda,9959543292,https://valleyoak.in/
,28,Valley Oak Junior College,Manikonda,9154281234,https://alphores-junior-college-bhagatnagar.business.site/?m=true
,29,ALPHORES Junior College,Karimnagar,9848423511,https://nrieducationalsociety.com/
,30,N R I JUNIOR COLLEGE,Warangal,9866613656, http://www.sigmainstitutions.com/
,31,SIGMA JUNIOR COLLEGE,Warangal,9704965472,https://kalojijuniorcollege.business.site/?utm_source=gmb&utm_medium=referral
,32,Kaloji Junior College,Warangal,9052814455, https://sajc.business.site/
,33,Shree Akshaya Junior College,Malkapur,8341000429, https://sajc.business.site/
,34,VECTOR IIT & NEET ACADEMY JUNIOR COLLEGE,Nizambad,7383475097,https://www.justdial.com/Nizamabad/VECTOR-IIT-NEET-ACADEMY-JuniorCOLLEGE
,35,Satya Vocational Junior College,Nizambad,8734092008,https://www.justdial.com/Nizamabad/Satya-Vocational-Junior-College
,36,Daripally Anantha Group Of Institutions,Khammam,7383505669,https://www.justdial.com/Khammam/Daripally-Anantha-Group-Of-Institutions
,37,Jalajam Juniour College,Mahabubnagar,9054799514,https://www.justdial.com/Mahabubnagar/Jalajam-Juniour-College
,38,Dr. Br Ambedkar Centenary Social Welfare Residential,Narsampet,9603075490,https://www.justdial.com/Medak/Junior-Colleges
,39,Balaji Group of Institutions,Mahabubabad,7799988416,https://www.justdial.com/Narsampet/Balaji-Group-of-Institutions
,40,Daripally Annatha Ramulu GroupOf Institutions,Adilabad,8460546481,https://www.justdial.com/Mahbubabad/Daripally-Annatha-Ramulu-Group-Of-Institutions
,41,VALLABHI JUNIOR COLLEGE,Hyderabad,9948937172,https://schools.org.in/warangal/36090300317/vallabhi-jr-college.html
,42,AADYAS Junior College,Hanamkonda,7207943360, https://aadyasacademy.com/
,43,S.R. Nava Vignana Bharathi Junior College,Adilabad,91212248, http://srdigischool.com/
,44,Vijeta Junior & Degree College,Asifabad,2.09293E+11,https://vijetajuniordegreecollegeadilabad.business.site/
,45,TS Model School & Junior College,Hyderabad,83410004290,https://mbasic.facebook.com/
,46,PAGE Junior College,Hyderabad,9246572065,https://pageacademy.com/
,47,Kompass Junior College,Hyderabad,8019643649,https://kompassjuniorcollege.edu.in/
,48,Little Flower Junior College,Hyderabad,7673960151,https://lfjc.co.in/
,49,Impulse Junior College,Hyderabad,9100055587,http://www.impulse.net.in/
,50,"GNITE JUNIOR COLLEGE -JEE MAIN& BITSAT, NEET & AIIMS",Hyderabad,7036511111,https://www.ignite.academy/
,51,Inter One Sitting College,Hyderabad,9248051525,https://interonesittingcollege.in/
,52,MS Junior College,Malakapet,4066334622,https://mseducationacademy.in/
,53,MJPTBCWR Junior College,Lingarajapalle,4023328266,https://mjpabcwreis.cgg.gov.in/
,54,Delta Junior College,Hyderabad,9000118837,https://deltaiit.org/
,55,FIITJEE Junior College,Hyderabad,4064601123,http://www.fiitjeehyd.com/
,56,Sri Chandra Junior College,Hyderabad,9030016313,https://srichandracollege.business.site/
,57,Telangana State Board  of Intermediate Education,Hyderabad,4024655027,https://tsbie.cgg.gov.in/
,58,Bhavan's New Science College,Hyderabad,4024754812, https://www.bhavansnsc.com/
,59,Tapasya College Of Commerce,Hyderabad,8885556611,https://tapasyaedu.com/
,60,Nizam College,Hyderabad,8331997325, https://www.nizamcollege.ac.in/
,,,,,
